iter	Passed	Remaining
0	1	1836
1	3	1585
2	4	1471
3	5	1423
4	7	1395
5	8	1377
6	9	1392
7	11	1387
8	13	1488
9	15	1497
10	16	1488
11	17	1475
12	19	1459
13	20	1445
14	21	1436
15	23	1437
16	24	1430
17	26	1432
18	28	1472
19	29	1468
20	31	1445
21	32	1439
22	33	1428
23	34	1421
24	36	1407
25	37	1398
26	38	1392
27	40	1395
28	42	1420
29	43	1413
30	44	1402
31	46	1399
32	47	1398
33	49	1400
34	50	1395
35	51	1389
36	53	1384
37	56	1433
38	58	1447
39	60	1443
40	61	1443
41	63	1442
42	64	1441
43	66	1446
44	68	1447
45	73	1515
46	74	1514
47	76	1513
48	77	1509
49	79	1510
50	80	1504
51	82	1505
52	85	1520
53	88	1541
54	89	1541
55	91	1537
56	92	1531
57	94	1529
58	95	1526
59	97	1530
60	101	1560
61	103	1560
62	104	1561
63	106	1553
64	107	1549
65	109	1544
66	110	1536
67	111	1524
68	112	1516
69	113	1509
70	115	1516
71	117	1513
72	118	1505
73	119	1498
74	120	1491
75	121	1482
76	122	1473
77	123	1463
78	125	1458
79	126	1456
80	128	1457
81	129	1453
82	131	1450
83	132	1445
84	133	1441
85	135	1438
86	136	1432
87	137	1426
88	138	1419
89	139	1410
90	140	1403
91	141	1395
92	143	1401
93	145	1400
94	146	1393
95	147	1386
96	148	1380
97	148	1370
98	149	1363
99	150	1356
100	151	1349
101	152	1342
102	153	1336
103	154	1330
104	155	1325
105	156	1319
106	157	1317
107	159	1317
108	160	1311
109	161	1305
110	162	1301
111	163	1296
112	164	1292
113	165	1288
114	166	1283
115	167	1278
116	168	1273
117	169	1268
118	170	1264
119	172	1267
120	174	1265
121	175	1260
122	176	1255
123	177	1251
124	178	1248
125	179	1243
126	180	1238
127	181	1234
128	182	1230
129	183	1228
130	184	1224
131	186	1224
132	188	1228
133	189	1222
134	190	1217
135	190	1213
136	191	1208
137	192	1204
138	193	1200
139	194	1196
140	195	1193
141	196	1190
142	197	1185
143	198	1182
144	200	1180
145	202	1183
146	203	1182
147	204	1177
148	205	1172
149	206	1167
150	206	1162
151	207	1157
152	208	1153
153	209	1148
154	209	1144
155	210	1139
156	211	1135
157	212	1131
158	213	1126
159	213	1122
160	214	1118
161	215	1116
162	217	1115
163	218	1112
164	219	1108
165	219	1104
166	220	1099
167	221	1095
168	222	1091
169	222	1087
170	223	1084
171	224	1080
172	225	1076
173	226	1072
174	226	1069
175	227	1065
176	228	1061
177	229	1059
178	230	1058
179	231	1055
180	232	1051
181	233	1047
182	233	1043
183	234	1039
184	235	1037
185	235	1032
186	236	1028
187	237	1025
188	238	1021
189	238	1017
190	239	1014
191	240	1011
192	241	1007
193	241	1004
194	242	1001
195	244	1001
196	245	999
197	246	997
198	247	994
